"joda-time","2.10","Apache 2"
"org.nrepl/incomplete","0.1.0","EPL-2.0 OR GPL-2.0-or-later WITH Classpath-exception-2.0"
"org.clojure/tools.reader","1.3.2","Eclipse Public License 1.0"
"borkdude/dynaload","0.2.2","Eclipse Public License 1.0"
"org.clojure/clojure","1.10.0","Eclipse Public License 1.0"
"borkdude/edamame","0.0.11-alpha.15","Eclipse Public License 1.0"
"metosin/malli","0.2.1","Eclipse Public License 2.0"
"instaparse","1.4.10","Eclipse Public License"
"org.clojure/data.csv","1.0.0","Eclipse Public License 1.0"
"camel-snake-kebab","0.4.2","Eclipse Public License"
"org.clojure/test.check","1.1.0","Eclipse Public License 1.0"
"nrepl","0.8.3","Eclipse Public License"
"clj-time","0.15.0","MIT License"
"org.clojure/core.specs.alpha","0.2.44","Eclipse Public License 1.0"
"org.clojure/spec.alpha","0.2.176","Eclipse Public License 1.0"
